taxon;rl.a
Acaulon muticum;2
Acaulon triquetrum;2
Aloina ambigua;2
Aloina brevirostris;1
Aloina rigida;3
Amblystegium compactum;
Amblystegium humile;3
Amblystegium saxatile;3
Amphidium mougeotii;- r: 3
Anacamptodon splachnoides;2
Anastrophyllum michauxii;3
Anastrophyllum saxicola;4 r: 0
Andreaea crassinervia;4
Andreaea heinemannii;4
Andreaea rothii subsp. falcata;4
Andreaea rothii subsp. rothii;4
Andreaea rupestris;- r: 3
Aneura pinguis;- r: 3
Anoëctangium hornschuchianum;3
Anoëctangium schliephackei;3
Anoëctangium sendtnerianum;3
Anoëctangium taeniatifolium;4
Anoëctangium tenuinerve;4
Anomodon longifolius;- r: 3
Anomodon rostratus;3
Anomodon rugelii;3
Anthoceros agrestis;2
Anthoceros neesii;1
Antitrichia curtipendula;3 r: 2
Aongstroemia longipes;3 r: 0
Archidium alternifolium;0
Arnellia fennica;4
Asterella gracilis;4
Asterella lindenbergiana;4
Asterella saccata;1
Athalamia hyalina;4 r: 1
Atractylocarpus alpinus;1 (Eu)
Atrichum tenellum;- r: 3
Aulacomnium androgynum;3
Aulacomnium palustre;- r: 3
Aulacomnium turgidum;4
Barbilophozia attenuata;- r: 3
Barbilophozia kunzeana;- r: 2
Barbula bicolor;4
Barbula enderesii;3
Bartramia halleriana;- r: 3
Bartramia ithyphylla;- r: 3
Bartramia subulata;4
Bazzania tricrenata;- r: 3
Blindia acuta;- r: 3
Brachydontium trichodes;4
Brachythecium campestre;3
Brachythecium capillaceum;2
Brachythecium erythrorrhizon;4
Brachythecium geheebii;4
Brachythecium latifolium;4
Brachythecium mildeanum;3
Brachythecium oxycladum;3
Brachythecium turgidum;4
Brotherella lorentziana;3
Bruchia flexuosa;0
Bruchia vogesiaca;0 (Eu)
Bryoerythrophyllum ferruginascens;4
Bryoerythrophyllum rubrum;4
Bryum algovicum;- r: 2
Bryum alpinum;- r: 3
Bryum archangelicum;4
Bryum arcticum;4
Bryum blindii;2
Bryum cyclophyllum;0
Bryum demaretianum,;4
Bryum funckii;3
Bryum gemmiferum,;3
Bryum intermedium;3
Bryum knowltonii;1
Bryum mildeanum;- r: 3
Bryum neodamense;
Bryum pseudotriquetrum var. bimum;3
Bryum radiculosum;3
Bryum ruderale;4
Bryum rutilans;4
Bryum sauteri;2
Bryum subneodamense;1
Bryum tenuisetum;4
Bryum uliginosum;1
Bryum veronense;3
Bryum versicolor;2
Bryum warneum;0
Bryum weigelii;3
Buxbaumia aphylla;3
Buxbaumia viridis;2 (Eu)
Callicladium haldanianum;3
Calliergon cordifolium;3
Calliergon giganteum;3 r: 1
Calliergon richardsonii;3
Calliergon sarmentosum;- r: 1
Calliergon stramineum;- r: 3
Calliergon trifarium;3 r: 1
Calypogeia sphagnicola;3 r: 2
Campylium elodes;2
Campylium polygamum;2
Campylopus fragilis;3
Campylopus pyriformis;2
Campylopus schwarzii;4
Campylopus subulatus;3
Campylostelium saxicola;4
Cephalozia ambigua;4
Cephalozia connivens;2
Cephalozia lacinulata;2
Cephalozia loitlesbergeri;3
Cephalozia macrostachya;1
Cephalozia pleniceps;- r: 3
Cephaloziella arctica;4
Cephaloziella elachista;2
Cephaloziella elegans;4
Cephaloziella grimsulana;4
Cephaloziella hampeana;4
Cephaloziella integerrima;4
Cephaloziella massalongi;4
Cephaloziella phyllacantha;4
Cephaloziella rubella var. sullivantii;4
Cephaloziella stellulifera;4
Cephaloziella subdentata;3
Ceratodon conicus;3
Chandonanthus -;
Cinclidium stygium;2
Cinclidotus aquaticus;3
Cinclidotus danubicus;1
Cinclidotus mucronatus;1
Cirriphyllum ornellanum;4
Cirriphyllum reichenbachianum;
Cladopodiella fluitans;3
Cladopodiella francisci;3
Clevea -;
Cnestrum schistii;0
Cololejeunea rossettiana;2
Conardia compacta;3
Coscinodon cribrosus;- r: 3
Crossidium squamiferum;3
Cryptothallus mirabilis;0
Cynodontium bruntonii;3
Cynodontium fallax;4
Cynodontium strumiferum;- r: 3
Cyrtomnium hymenophylloides;4
Desmatodon cernuus;2
Desmatodon heimii;2
Desmatodon laureri;4
Desmatodon leucostoma;4
Desmatodon systylius;4
Dichodontium flavescens;4
Dicranella cerviculata;- r: 3
Dicranella crispa;4
Dicranella humilis;4
Dicranella palustris;- r: 3
Dicranodontium denudatum var. alpinum;3
Dicranodontium uncinatum;4
Dicranum bergeri;- r: 3
Dicranum bonjeanii;3
Dicranum flagellare;3
Dicranum majus;3
Dicranum muehlenbeckii;3
Dicranum spurium;- r: 3
Dicranum tauricum;4
Dicranum viride;3 (Eu)
Didymodon acutus var. acutus;3
Didymodon cordatus;3
Didymodon luridus;3
Didymodon rigidulus subsp. andreaeoides;4
Didymodon rigidulus subsp. rigidulus var. glaucus;3
Didymodon rigidulus subsp. rigidulus var. validus;4
Didymodon sinuosus;2
Didymodon tophaceus;- r: 3
Didymodon vinealis s. lat.;3
Distichophyllum carinatum;1 (Eu)
Drepanocladus aduncus;3
Drepanocladus cossonii;- r: 3
Drepanocladus exannulatus;
Drepanocladus fluitans;
Drepanocladus lycopodioides;2
Drepanocladus pseudostramineus;
Drepanocladus revolvens s.str.;3
Drepanocladus revolvens var. intermedius;
Drepanocladus sendtneri;1
Drepanocladus trichophyllus;
Drepanocladus vernicosus;
Dryptodon patens;- r: 3
Encalypta affinis;4
Encalypta brevipes;0
Encalypta ciliata;- r: 3
Encalypta longicolla;4
Encalypta spathulata;2
Entodon cladorrhizans;0
Entodon schleicheri;3
Entosthodon fascicularis;3
Entosthodon hungaricus;2
Ephemerum cohaerens;0
Ephemerum minutissimum;3
Ephemerum recurvifolium;0
Ephemerum sessile;0
Eremonotus myriocarpus;4
Eucladium verticillatum;- r: 3
Eurhynchium flotowianum;3
Eurhynchium praelongum;4
Eurhynchium pumilum;0
Eurhynchium schleicheri;3
Eurhynchium speciosum;3
Fabronia ciliaris;3
Fimbriaria -;
Fissidens adianthoides;- r: 3
Fissidens crassipes;3
Fissidens exilis;3
Fissidens incurvus;3
Fissidens limbatus (var. bambergeri);2
Fissidens osmundoides;- r: 3
Fissidens rufulus;3
Fissidens viridulus,;4
Fontinalis hypnoides;1
Fontinalis squamosa;3
Fossombronia foveolata;1
Fossombronia incurva;4
Fossombronia pusilla;2
Fossombronia wondraczekii;3
Frullania cesatiana;1
Frullania fragilifolia;3
Frullania inflata;3
Frullania jackii;- r: 3
Frullania parvistipula;1 (Eu)
Frullania tamarisci;3 r: 2
Funaria microstoma;2
Funaria muhlenbergii;0
Funaria pulchella;1
Geocalyx graveolens;3
Grimaldia -;
Grimmia atrata;4
Grimmia crinita;0
Grimmia decipiens;1
Grimmia incurva;- r: 3
Grimmia limprichtii;4
Grimmia montana;4 r: 1
Grimmia orbicularis;3
Grimmia poecilostoma;4
Grimmia teretinervis;3
Grimmia unicolor;4
Gymnocolea inflata;- r: 3
Gymnostomum viridulum;3
Gyroweisia tenuis;4
Hamatocaulis vernicosus;2 (Eu)
Haplomitrium hookeri;4
Harpanthus scutatus;3
Helodium blandowii;1
Herbertus sendtneri;4
Herzogiella striatella;4
Heterophyllium affine;0
Homalothecium nitens;
Hookeria lucens;3
Hygrobiella laxifolia;4
Hygrohypnum alpinum;4
Hygrohypnum cochleariifolium;4
Hygrohypnum duriusculum;- r: 3
Hygrohypnum eugyrium;2
Hygrohypnum ochraceum;- r: 3
Hygrohypnum styriacum;4
Hylocomium brevirostre;3
Hylocomium umbratum;- r: 3
Hyophila involuta;1
Hypnum fertile;3
Hypnum imponens;4
Hypnum pratense;2
Isopaches -;
Jamesoniella undulifolia;1
Jungermannia borealis;4
Jungermannia caespiticia;4
Jungermannia exsertifolia (subsp. cordifolia);4
Jungermannia polaris;4
Jungermannia subulata;4
Kiaeria blyttii;4
Kurzia pauciflora;3 r: 2
Leiocolea -;
Lejeunea ulicina;2
Leptodontium styriacum;4
Lescuraea patens;
Lophozia bantriensis;- r: 3
Lophozia bicrenata;- r: 3
Lophozia decolorans;4
Lophozia elongata;4
Lophozia gillmanii;4
Lophozia grandiretis;4
Lophozia laxa;2
Lophozia obtusa;4
Lophozia perssonii;4
Lophozia wenzelii;- r: 3
Madotheca -;
Mannia fragrans;3
Mannia pilosa;4
Mannia triandra;4 r: 3 (Eu)
Marsupella adusta;4
Marsupella alpina;4
Marsupella ramosa;4
Marsupella sphacelata;- r: 3
Meesia longiseta;0 (Eu)
Meesia triquetra;2 r: 0
Metaneckera menziesii;2
Metzgeria fruticulosa;3
Metzgeria temperata;2
Microlejeunea -;
Mielichhoferia elongata;4
Mielichhoferia mielichhoferiana;4
Mnium spinulosum;4
Moerckia hibernica;- r: 3
Mylia anomala;- r: 3
Mylia taylori;- r: 3
Myurella julacea;- r: 2
Myurella sibirica;4?
Nardia breidleri;4
Neckera oligocarpa;4
Neckera pennata;1
Neckera pumila;3
Notothylas orbicularis;1 (Eu)
Octodiceras fontanum;4
Odontoschisma denudatum;- r: 3
Odontoschisma elongatum;4
Odontoschisma macounii;4
Odontoschisma sphagni;2
Oncophorus wahlenbergii;4
Oreas martiana;4
Oreoweisia torquescens;4
Orthothecium strictum;4
Orthotrichum alpestre;3
Orthotrichum cupulatum var. cupulatum;- r: 3
Orthotrichum cupulatum var. riparium;2
Orthotrichum gymnostomum;0
Orthotrichum limprichtii;4
Orthotrichum patens;3
Orthotrichum rogeri;1 (Eu)
Orthotrichum rupestre;- r: 3
Orthotrichum scanicum;0
Orthotrichum stellatum;1
Orthotrichum stramineum;3
Orthotrichum tenellum;2
Orthotrichum urnigerum;4
Oxymitra paleacea;1
Pallavicinia lyellii;0
Paludella squarrosa;2
Peltolepis quadrata;4
Phaeoceros carolinianus;2
Phascum curvicolle;3
Phascum floerkeanum;0
Philonotis arnellii;2
Philonotis caespitosa;- r: 3
Philonotis marchica;2
Physcomitrium eurystomum;3
Physcomitrium sphaericum;2
Plagiomnium elatum;3
Plagiomnium ellipticum;3
Plagiopus oederiana;- r: 3
Plagiothecium latebricola;2
Plagiothecium neckeroideum;4
Plagiothecium platyphyllum;- r: 3
Plagiothecium ruthei;3
Plagiothecium succulentum;3
Pleuridium palustre;2
Pleurochaete squarrosa;3
Pleuroclada -;
Pleurocladula islandica;4
Pogonatum nanum;4
Pohlia bulbifera;4
Pohlia cruda;- r: 3
Pohlia lescuriana;4
Pohlia muyldermansii (var. pseudomuyldermansii);4
Pohlia sphagnicola;0
Pohlia tundrae;4
Pohlia vexans;3
Polytrichum longisetum;- r: 3
Polytrichum pallidisetum;4
Polytrichum strictum;- r: 3
Porella arboris-vitae;- r: 3
Porella cordaeana;- r: 3
Porella platyphylloidea;2
Pottia bryoides;3
Pottia davalliana;3
Pottia lanceolata;3
Pottia starckeana;0
Prasanthus suecicus;4
Pseudephemerum nitidum;3
Pseudobryum cinclidioides;2
Pseudocrossidium hornschuchianum;3
Pseudocrossidium revolutum;2
Pseudoleskea patens;4
Pseudoleskeella rupestris;4
Pseudoleskeella tectorum;4
Pterogonium gracile;0
Pterygoneurum lamellatum;1
Pterygoneurum ovatum;3
Pterygoneurum subsessile;3
Pyramidula tetragona;0 (Eu)
Racomitrium affine;- r: 2
Racomitrium aquaticum;- r: 3
Racomitrium lanuginosum;- r: 3
Reboulia hemisphaerica;- r: 3
Rhabdoweisia crispata;- r: 3
Rhizomnium magnifolium;- r: 3
Rhizomnium pseudopunctatum;3
Rhynchostegiella curviseta;3
Rhynchostegiella jacquinii;4
Rhynchostegiella tenella;3
Rhynchostegium megapolitanum;0
Riccardia chamedryfolia;3
Riccardia incurvata;3
Riccardia pinguis;
Riccia bifurca;2
Riccia breidleri;4 (Eu)
Riccia canaliculata;0
Riccia cavernosa;2
Riccia ciliata;2
Riccia ciliifera;2
Riccia crozalsii;4
Riccia fluitans;3
Riccia frostii;0
Riccia huebeneriana;0
Riccia pseudopapillosa;0
Riccia subbifurca;2
Riccia trichocarpa;1
Riccia warnstorfii;2
Ricciocarpos natans;2
Scapania aequiloba;- r: 3
Scapania apiculata;3
Scapania calcicola;4
Scapania carinthiaca;0
Scapania degenii;4
Scapania gymnostomophila;4
Scapania irrigua;- r: 3
Scapania lingulata;4
Scapania massalongi;3 (Eu)
Scapania mucronata;4
Scapania obcordata;4
Scapania paludicola;3
Scapania paludosa;4
Scapania praetervisa;4
Scapania scandica;4
Scapania scapanioides;3
Scapania verrucosa;4
Schistidium agassizii;3
Schistidium boreale;4
Schistidium confusum;4
Schistidium flaccidum;4
Schistidium frigidum,;4
Schistidium grande;4
Schistidium lancifolium;4
Schistidium papillosum;- r: 3
Schistidium pruinosum;4
Schistidium pulchrum;4
Schistidium singarense;3
Schistidium umbrosum;4
Scleropodium touretii;0
Scopelophila ligulata;4
Scorpidium scorpioides;2
Scorpidium turgescens;2
Seligeria austriaca;4
Seligeria brevifolia;4
Seligeria calcarea;4
Seligeria irrigata;4
Seligeria patula;4
Sphaerocarpos michelii;0
Sphagnum angustifolium;- r: 3
Sphagnum auriculatum;3
Sphagnum balticum;0
Sphagnum brevifolium;4
Sphagnum centrale;3
Sphagnum compactum;- r: 3
Sphagnum contortum;2
Sphagnum cuspidatum;3 r: 2
Sphagnum fallax;3
Sphagnum fimbriatum;3
Sphagnum flexuosum;3 r: 2
Sphagnum fuscum;3
Sphagnum imbricatum;1
Sphagnum lindbergii;1
Sphagnum magellanicum;- r: 3
Sphagnum majus;3 r: 2
Sphagnum molle;1
Sphagnum obtusum;2 r: 1
Sphagnum palustre;- r: 3
Sphagnum papillosum;3 r: 2
Sphagnum platyphyllum;3
Sphagnum recurvum agg.;
Sphagnum riparium;2
Sphagnum rubellum;3
Sphagnum russowii;- r: 3
Sphagnum squarrosum;- r: 3
Sphagnum subnitens;2
Sphagnum subsecundum;3
Sphagnum tenellum;2
Sphagnum teres;3
Sphagnum viride;2
Sphagnum warnstorfii;3
Splachnum ampullaceum;2
Tayloria acuminata;0
Tayloria hornschuchii;4
Tayloria lingulata;3
Tayloria rudolphiana;1 (Eu)
Tayloria splachnoides;4
Telaranea -;
Tetralophozia setiformis;4
Tetraplodon angustatus;4
Tetraplodon mnioides;4
Tetraplodon urceolatus;3
Tetrodontium ovatum;4
Tetrodontium repandum;4
Tomentypnum nitens;3
Tortula atrovirens;2
Tortula calcicolens;
Tortula canescens;0
Tortula fragilis;0
Tortula intermedia;- r: 2
Tortula laevipila;3
Tortula latifolia;3
Tortula obtusifolia;4
Tortula ruraliformis,;3
Tortula ruralis subsp. calcicolens;4
Tortula sinensis;3
Trematodon ambiguus;2
Trematodon brevicollis;4
Trichostomum brachydontium;3
Trochobryum carniolicum;2
Ulota coarctata;1
Ulota curvifolia;4
Ulota hutchinsiae;- r: 3
Ulota rehmannii;0
Voitia nivalis;2
Warnstorfia exannulata;- r: 3
Warnstorfia fluitans var. fluitans;3
Warnstorfia fluitans var. uncata;3
Warnstorfia pseudostraminea;0
Warnstorfia trichophylla,;3
Weissia condensa;3
Weissia rostellata;0
Weissia rutilans;2
Weissia squarrosa;1
Weissia triumphans (var. pallidisetum);1
Zygodon dentatus;3
Zygodon gracilis;4
Zygodon rupestris;2
