evc.class.code,name
ADI,Adiantetea
AEL,Aeluropodetea littoralis
AEO,Aeonio-Greenovietea
ALN,Alnetea glutinosae
AMM,Ammophiletea
ANA,Trifolio anatolici-Polygonetea arenastri 
ARC,Matricario-Poetea arcticae
ARE,Salicetea arenariae
ART,Artemisietea vulgaris
ASA,Asaro europaei-Abietetea sibiricae
ASP,Asplenietea trichomanis
AZO,Lauro azoricae-Juniperetea brevifoliae
BID,Bidentetea
BRA,Brachypodio pinnati-Betuletea pendulae
BUL,Poetea bulbosae
CAK,Cakiletea maritimae
CAN,Cytiso-Pinetea canariensis
CHE,Chenopodietea
COC,Saxifrago cernuae-Cochlearietea groenlandicae
COR,Koelerio-Corynephoretea canescentis
CRI,Crithmo-Staticetea
CRU,Helichryso-Crucianelletea
CRY,Crypsidetea aculeatae
CYM,Cymbalario-Parietarietea diffusae
CYP,Diantho troodii-Teucrietea cyprii
CYT,Cytisetea scopario-striati
DAP,Daphno-Festucetea
DIG,Digitario sanguinalis-Eragrostietea minoris
DRY,Drypidetea spinosae
EPI,Epilobietea angustifolii
ERI,Erico-Pinetea
FAG,Carpino-Fagetea sylvaticae
FEP,Festuco-Puccinellietea
FES,Festuco-Brometea
FRA,Franguletea
GEN,Carici-Genistetea lobelii
GER,Trifolio-Geranietea sanguinei
HAL,Halodulo wrightii-Thalassietea testudinum
HER,Salicetea herbaceae
IND,Festucetea indigestae
ISO,IsoÃ«to-Nanojuncetea
JUN,Juncetea maritimi
KAL,Kalidietea foliosi
KLE,Kleinio neriifoliae-Euphorbietea canariensis
KOB,Carici rupestris-Kobresietea bellardii 
LAM,Lamio tomentosi-Chaerophylletea humilis
LAU,Pruno lusitanicae-Lauretea azoricae
LAV,Cisto-Lavanduletea stoechadis 
LEM,Lemnetea
LER,Artemisietea lerchianae
LIT,Littorelletea uniflorae 
LOI,Loiseleurio procumbentis-Vaccinietea
LON,Lonicero-Rubetea plicati
LYG,Lygeo sparti-Stipetea tenacissimae
MOL,Molinio-Arrhenatheretea
MON,Montio-Cardaminetea
MOQ,Polycarpaeo niveae-Traganetea moquinii
MUG,Roso pendulinae-Pinetea mugo
MUL,Mulgedio-Aconitetea
NAR,Nardetea strictae
NER,Nerio-Tamaricetea
OLE,Oleo cerasiformis-Rhamnetea crenulatae
ONO,Festuco hystricis-Ononidetea striatae
ORY,Oryzetea sativae
OXY,Oxycocco-Sphagnetea
PAP,Drabo corymbosae-Papaveretea dahliani
PAR,Papaveretea rhoeadis
PEG,Pegano harmalae-Salsoletea vermiculatae
PHA,Phagnalo saxatilis-Rumicetea indurati
PHR,Phragmito-Magnocaricetea
PIC,Vaccinio-Piceetea
PIL,Saginetea piliferae
POD,Polypodietea
POL,Polygono-Poetea annuae
POP,Alno glutinosae-Populetea albae
POT,Potamogetonetea
PUB,Quercetea pubescentis
PUR,Salicetea purpureae
PYR,Pyrolo-Pinetea sylvestris
QUE,Quercetea roboris
QUI,Quercetea ilicis
RHA,Rhamno-Prunetea
RHO,Rhododendro hirsuti-Ericetea carneae
ROB,Robinietea
ROS,Ononido-Rosmarinetea
RUM,Rumici-Astragaletea siculi
RUP,Ruppietea maritimae
SAB,Junipero-Pinetea sylvestris
SAC,Stipo giganteae-Agrostietea castellanae
SAG,Saginetea maritimae
SAL,Salicornietea fruticosae
SAX,Saxifrago tricuspidatae-Calamagrostietea purpurascentis
SCH,Scheuchzerio palustris-Caricetea fuscae
SED,Sedo-Scleranthetea
SES,Elyno-Seslerietea
SIS,Sisymbrietea
SPA,Spartinetea maritimae
SUP,Spartocytisetea supranubii
TAM,Tamaricetea arceuthoidis
THE,Therosalicornietea
THL,Thlaspietea rotundifoliae
TOL,Tolpido azoricae-Holcetea rigidi
TRA,Stipo-Trachynietea distachyae
TRI,Juncetea trifidi
TUB,Helianthemetea guttati
ULI,Calluno-Ulicetea
VIO,Violetea cheiranthifoliae 
VIR,Betulo carpaticae-Alnetea viridis
